rows,start,end,annualized_return,sharpe,annualized_excess,active_sharpe,beta_neutral_annualized_excess,beta_neutral_sharpe,max_drawdown,annual_turnover,long_ratio,short_ratio,index_code,index_name,horizon_days
1848,2019-01-02,2026-08-14,-0.1746135281477289,-0.6786494360783698,-0.2840193283548478,-0.9330108675341438,-0.17469900352447676,-0.6721745318398142,-0.7516255356971085,68.5909090909091,0.6726190476190477,0.3273809523809524,000905,中证500,5
1843,2019-01-02,2026-08-07,-0.0740449491649211,-0.20108325917314634,-0.1804348623407318,-0.660391944137235,-0.10523648647488004,-0.3841226689762701,-0.508950362825219,27.483450895279436,0.6711882799782962,0.3288117200217037,000905,中证500,10
1833,2019-01-02,2026-07-24,-0.017019755399445335,0.04953101592492071,-0.15424559808179483,-0.27933780776834904,-0.02555095614733227,0.01725803220718598,-0.6052179156690279,22.684124386252044,0.5068194217130387,0.49318057828696127,000905,中证500,20
1793,2019-01-02,2026-05-28,-0.04240367328391126,-0.06204203209353094,-0.18633485076944312,-0.40488152861916427,-0.03215644924859362,-0.00991500333983579,-0.5308199621247466,25.43892916899052,0.569994422755159,0.43000557724484106,000905,中证500,60
1363,2021-01-04,2026-08-18,0.005979414491174895,0.15135648450388137,-0.05659949898933336,-0.05121729396524547,-0.04665577463350734,-0.05565152406378778,-0.43036430893761324,77.83712399119588,0.5194424064563463,0.4805575935436537,000852,中证1000,3
1361,2021-01-04,2026-08-14,0.12130705730486246,0.568780333490223,0.058590075398530894,0.3575553961772155,0.06861244669133226,0.40871946557646827,-0.36820664072067266,58.69507714915503,0.6855253490080823,0.3144746509919177,000852,中证1000,5
1356,2021-01-04,2026-08-07,0.09346545672949746,0.47197345522167805,0.03287733076444721,0.25401168212661207,-0.03356302790653143,-0.02352225345299488,-0.32092693911229353,39.21238938053097,0.6497050147492626,0.3502949852507375,000852,中证1000,10
1346,2021-01-04,2026-07-24,-0.057603890176407435,-0.09466714487415397,-0.11873458414572835,-0.20783844904178697,-0.08845296587702534,-0.18041373962854576,-0.5426497787945225,28.270430906389304,0.638187221396731,0.36181277860326894,000852,中证1000,20
1361,2021-01-04,2026-08-14,0.05282974578652366,0.3267657545631061,-0.09074699442232126,0.04193893127648794,-0.006481273150723887,0.15990753589001863,-0.40263377008415735,40.9199118295371,0.5944158706833211,0.4055841293166789,399006,创业板指,5
1356,2021-01-04,2026-08-07,0.074780019590444,0.391070457726468,-0.0644855219128807,0.11263534289758516,0.004800990905540203,0.23046944311518955,-0.3524837452076247,29.176991150442475,0.5833333333333334,0.4166666666666667,399006,创业板指,10
1346,2021-01-04,2026-07-24,-0.1282419303167447,-0.26200276758125957,-0.25605521841026857,-0.3334014266739064,-0.12854931715612006,-0.22023824700589417,-0.6402863006778869,21.904903417533433,0.525260029717682,0.47473997028231796,399006,创业板指,20
876,2023-01-03,2026-08-14,-0.2651006459589752,-0.5977810876962831,-0.5114915838418258,-0.7885226852042807,-0.29740269874052516,-0.7183586154843811,-0.8097379788803636,75.65753424657534,0.3801369863013699,0.6198630136986302,000688,科创50,5
871,2023-01-03,2026-08-07,-0.2863047392576772,-0.6721433441095933,-0.5318375329303967,-0.7721815331013727,-0.30131076567089055,-0.6853739025522113,-0.8311301825145792,40.2158438576349,0.4443168771526981,0.5556831228473019,000688,科创50,10
861,2023-01-03,2026-07-24,-0.11050072509340625,-0.10060994877125501,-0.4154936528978611,-0.4512547260893476,-0.0769506531904558,-0.0879280559591184,-0.6545724039786582,20.78048780487805,0.37746806039488967,0.6225319396051103,000688,科创50,20
353,2025-03-07,2026-08-17,-0.23448840480858768,-0.893167061709514,-0.33950916879037285,-2.0037694050382933,-0.291701990359995,-1.4982740943964468,-0.4176299150350822,52.11331444759207,0.7110481586402266,0.28895184135977336,932000,中证2000,3
351,2025-03-07,2026-08-13,-0.09902697175335917,-0.27038497051068944,-0.21823207642038178,-1.2939408915490722,-0.15734325388207548,-0.75861219075266,-0.27034207921986764,15.076923076923078,0.7635327635327636,0.23646723646723647,932000,中证2000,5
346,2025-03-07,2026-08-06,-0.04921844172128842,-0.0625653111942825,-0.1655855362807349,-0.8944354261706208,-0.08889896688296361,-0.37632789645667974,-0.27034207921986764,9.46820809248555,0.7572254335260116,0.24277456647398843,932000,中证2000,10
